time,prey,predator
1.685421355338834815e+01,7.204795901564937211e+00,3.996773760803228992e+00
1.690422605651412979e+01,7.409942107378716614e+00,3.990298982583883269e+00
1.695423855963991144e+01,7.620351466000633067e+00,3.984936774550283722e+00
1.700425106276569309e+01,7.836074107506922459e+00,3.980693573313350608e+00
1.705426356589147474e+01,8.057154301090822202e+00,3.977576059308221446e+00
1.710427606901725639e+01,8.283629992650036300e+00,3.975591157189630298e+00
1.715428857214303804e+01,8.515532134791795826e+00,3.974746041123016216e+00
1.720430107526881969e+01,8.752884624464687846e+00,3.975048134643245579e+00
1.725431357839459778e+01,8.995703658252997670e+00,3.976505099393695453e+00
1.730432608152037943e+01,9.243997358823513366e+00,3.979124823224179597e+00
1.735433858464616108e+01,9.497764920228641827e+00,3.982915430776124310e+00
1.740435108777194273e+01,9.756996389467374797e+00,3.987885284598439384e+00
1.745436359089772438e+01,1.002167250076791838e+01,3.994042983511959299e+00
1.750437609402350603e+01,1.029176390286776588e+01,4.001397341692952025e+00
1.755438859714928768e+01,1.056723090126631703e+01,4.009957388117915578e+00
1.760440110027506933e+01,1.084802266773153434e+01,4.019732377798737488e+00
1.765441360340085097e+01,1.113407718216549114e+01,4.030731792017990145e+00
1.770442610652663262e+01,1.142532111116514315e+01,4.042965336891543693e+00
1.775443860965241427e+01,1.172166907456582585e+01,4.056442919203089303e+00
1.780445111277819592e+01,1.202302358644813474e+01,4.071174644139057719e+00
1.785446361590397757e+01,1.232927452698111814e+01,4.087170831975698526e+00
1.790447611902975922e+01,1.264029908247961487e+01,4.104442018631329070e+00
1.795448862215554087e+01,1.295596174527078404e+01,4.122998955654882280e+00
1.800450112528132252e+01,1.327611412677519809e+01,4.142852596466536141e+00
1.805451362840710416e+01,1.360059458414503908e+01,4.164014073571299157e+00
1.810452613153288226e+01,1.392922850684446878e+01,4.186494722239354260e+00
1.815453863465866391e+01,1.426182836966741796e+01,4.210306083928399445e+00
1.820455113778444556e+01,1.459819373273744603e+01,4.235459906283643328e+00
1.825456364091022721e+01,1.493811134565233090e+01,4.261968140076113798e+00
1.830457614403600886e+01,1.528135542725962992e+01,4.289842913550058867e+00
1.835458864716179050e+01,1.562768777566338763e+01,4.319096543923675036e+00
1.840460115028757215e+01,1.597685867954901617e+01,4.349741547376384077e+00
1.845461365341335380e+01,1.632860698506733499e+01,4.381790638724488929e+00
1.850462615653913545e+01,1.668266022217212097e+01,4.415256730312577815e+00
1.855463865966491710e+01,1.703873556866075489e+01,4.450152915133014808e+00
1.860465116279069875e+01,1.739654001192769428e+01,4.486492469463462918e+00
1.865466366591648040e+01,1.775577188729802458e+01,4.524288862056883964e+00
1.870467616904226205e+01,1.811612110116905328e+01,4.563555753897710510e+00
1.875468867216804369e+01,1.847726932314828474e+01,4.604306997202446183e+00
1.880470117529382534e+01,1.883889142401346817e+01,4.646556623092512162e+00
1.885471367841960699e+01,1.920065580553488260e+01,4.690318843766670298e+00
1.890472618154538864e+01,1.956222636013583127e+01,4.735608056026586077e+00
1.895473868467117029e+01,1.992326273819682569e+01,4.782438840824653425e+00
1.900475118779694839e+01,2.028342061451152389e+01,4.830825962026815468e+00
1.905476369092273004e+01,2.064235345521476717e+01,4.880784356659539469e+00
1.910477619404851168e+01,2.099971289852300416e+01,4.932329137009235254e+00
1.915478869717429333e+01,2.135515090473784028e+01,4.985475586891555899e+00
1.920480120030007498e+01,2.170832001712109616e+01,5.040239160780745742e+00
1.925481370342585663e+01,2.205887359349677723e+01,5.096635482431130626e+00
1.930482620655163828e+01,2.240646768960577973e+01,5.154680335649825196e+00
